well ,X_UTM,Y_UTM,Q_lpm
BalajuPark Well,332622.4245,3068903.385,600.0
Bansbari Bhaktapur Well,347876.3542,3063728.237,400.0
Bode solar tube well,341850.6854,3064433.453,600.0
Bode Treatment Plant,341610.7512,3064641.583,600.0
Bode Tubewell Dugwell Compound,341852.2304,3065309.97,500.0
Bohoratar Tube Well,331951.8134,3068612.333,400.0
Budhanilkantha Deep Tube Well,339321.2053,3074760.086,480.0
Chobar well,331438.3912,3061170.148,250.0
Damaichaghat well,332649.6046,3065867.665,800.0
Dudhpati well,344154.6854,3061420.621,300.0
Hepali Height Well,336348.4159,3071073.341,1800.0
Khusibu Well,332844.7227,3067144.94,420.0
Kausaltar Tube Well,338605.9825,3061868.624,540.0
Minbhawan well,336138.0868,3063449.726,450.0
Narephat well,336273.6086,3063534.461,350.0
PH-2 well New,331874.7855,3054753.261,700.0
Puja Prathisthan Well,335645.7808,3064977.893,800.0
Ra.Pra.Pa well,336536.6964,3067852.659,800.0
Sanepa Deep Tube Well,332327.187,3063373.138,540.0
SangleKhola Tube Well,333944.0148,3070435.583,700.0
Tarkeshwor Well,332526.4132,3069662.718,900.0
Teaching hospital well,335612.0854,3069190.53,900.0
Airport well,337400.51,3062396.646,700.0
Bahiti well,330941.5302,3065954.486,300.0
Balkumari Well,336063.8739,3061822.828,350.0
Baluwapati Well,334302.6767,3071068.994,350.0
Bangurpalan,333517.6333,3069468.436,280.0
Basundhara Well,335360.6368,3069843.335,500.0
BB-0 well,336131.4039,3070334.901,800.0
BB-1,336674.223,3070083.778,250.0
BB-2,336978.2194,3070694.725,650.0
BB-3,335247.4369,3071235.643,450.0
BB-4 (a),334964.0063,3070765.195,600.0
BB-6a,334868.9995,3070304.375,600.0
BB-8 well,334476.2265,3069627.086,600.0
BH-2,341559.7141,3064131.396,1000.0
BH-3,342142.4132,3064567.069,800.0
BH-4,342001.1615,3065006.619,800.0
BT-1 well,334290.7532,3070485.141,200.0
BT-2 well,334171.4535,3070052.361,650.0
BT-3 well,334306.6498,3071071.156,450.0
Changunarayan Tube Well,345655.605299411,3067420.65881885,600.0
Chapali (BB-9),337728.7643,3072335.832,550.0
Charghare well,333593.7861,3052963.269,1200.0
Dallu Awas well,332005.4356,3066287.698,250.0
Danfe Colony well,335603.5148,3070813.024,350.0
Dhapakhel well,334272.4438,3058726.482,550.0
GK-1 Well,343240.1344,3069753.335,450.0
GK-2 Well,342551.3588,3069631.497,500.0
Gk-3 Well,342842.0433,3069770.677,400.0
GK-4 well,343145.1917,3069883.107,500.0
Goldunga well,332262.4872,3070398.886,200.0
Indra Kamal Well,338819.8574,3062745.661,360.0
Jadibuti well,337373.1875,3062419.175,700.0
Jagati Well,346000.5806,3061496.846,220.0
Jholungepool well,336118.9704,3062397.224,400.0
Jwagal Well,334823.8378,3063504.081,450.0
Kanya mandir,333259.9682,3066287.032,400.0
Lokanthali well,337886.921,3062177.387,1260.0
Madevsthan,336390.8503,3062953.188,480.0
Mantri Quarter,333702.9786,3062984.109,300.0
MH-3,341823.9291,3066544.808,550.0
MH-5,341747.0476,3065791.165,600.0
MK-1,332760.4869,3069619.593,960.0
MK-3,333496.5861,3069946.356,650.0
MK6,333701.9053,3070610.671,400.0
MK-7 well,333810.3754,3071043.596,650.0
Muldol well,335125.9625,3052438.266,350.0
Mulpani Well,341405.4859,3067277.208,400.0
PH-1,331276.3969,3055528.387,600.0
PH-2 well old,331882.0918,3054781.973,720.0
PM Quarter well,335377.1691,3067937.038,300.0
Ratnapark well,333820.4642,3065731.906,300.0
Sallagari Well,343112.2146,3062290.601,240.0
Samakhusi well,334115.4756,3068915.016,400.0
Samudak well,333193.0195,3069165.926,200.0
Shankapark Well,336609.4145,3068859.01,600.0
Sinamangal well,337478.1492,3064661.798,850.0
Siprade,330506.5134,3064182.99,500.0
Sitapaila well,330476.6749,3066710.112,200.0
Suichataar well,330309.6899,3064993.617,350.0
Sukedhara well,337060.4114,3068666.772,400.0
Swayombhu Geeta Mandir,330923.4266,3066921.091,250.0
Tripureshwor well,333694.0924,3064786.137,300.0
